DATE,FEDFUNDS,Inflation Rate
1983-04-01,8.8,3.9999999999999973
1983-05-01,8.63,3.44108446298227
1983-06-01,8.98,2.474226804123717
1983-07-01,9.37,2.358974358974356
1983-08-01,9.56,2.4564994882292646
1983-09-01,9.45,2.7635619242579352
1983-10-01,9.48,2.7522935779816544
1983-11-01,9.34,3.1632653061224434
1983-12-01,9.47,3.7871033776867993
1984-01-01,9.56,4.290091930541357
1984-02-01,9.59,4.693877551020402
1984-03-01,9.91,4.892966360856281
1984-04-01,10.29,4.554655870445344
1984-05-01,10.32,4.334677419354835
1984-06-01,11.06,4.325955734406436
1984-07-01,11.23,4.308617234468935
1984-08-01,11.64,4.295704295704307
1984-09-01,11.3,4.282868525896411
1984-10-01,9.99,4.265873015873013
1984-11-01,9.43,4.1543026706231485
1984-12-01,8.38,4.043392504930961
1985-01-01,8.35,3.5259549461312525
1985-02-01,8.5,3.606237816764136
1985-03-01,8.58,3.7900874635568425
1985-04-01,8.27,3.5818005808325295
1985-05-01,7.97,3.5748792270531426
1985-06-01,7.53,3.6644165863066505
1985-07-01,7.88,3.4582132564841586
1985-08-01,7.9,3.3524904214559386
1985-09-01,7.92,3.2473734479465053
1985-10-01,7.99,3.2350142721217945
1985-11-01,8.05,3.5137701804368495
1985-12-01,8.27,3.7914691943127963
1986-01-01,8.14,3.9735099337748365
1986-02-01,7.86,3.1984948259642576
1986-03-01,7.48,2.1535580524344544
1986-04-01,6.99,1.5887850467289748
1986-05-01,6.85,1.6791044776119375
1986-06-01,6.92,1.7674418604651216
1986-07-01,6.56,1.6713091922005545
1986-08-01,6.17,1.5755329008340953
1986-09-01,5.89,1.7576318223866843
1986-10-01,5.85,1.5668202764976984
1986-11-01,6.04,1.2844036697247758
1986-12-01,6.91,1.1872146118721436
1987-01-01,6.43,1.364877161055505
1987-02-01,6.1,1.9143117593436592
1987-03-01,6.13,2.841429880843271
1987-04-01,6.37,3.6798528058877644
1987-05-01,6.85,3.669724770642202
1987-06-01,6.73,3.7477148080438707
1987-07-01,6.58,3.9269406392694037
1987-08-01,6.73,4.288321167883215
1987-09-01,7.22,4.272727272727275
1987-10-01,7.29,4.355716878402901
1987-11-01,6.69,4.528985507246377
1987-12-01,6.77,4.332129963898915
1988-01-01,6.83,4.129263913824052
1988-02-01,6.58,3.9355992844364986
1988-03-01,6.58,3.8324420677361823
1988-04-01,6.87,3.9929015084294583
1988-05-01,7.09,3.982300884955752
1988-06-01,7.51,3.9647577092511015
1988-07-01,7.75,4.1300527240773315
1988-08-01,8.01,4.111986001749783
1988-09-01,8.19,4.184829991281601
1988-10-01,8.3,4.260869565217396
1988-11-01,8.35,4.2461005199306685
1988-12-01,8.76,4.411764705882361
1989-01-01,9.12,4.4827586206896575
1989-02-01,9.36,4.647160068846809
1989-03-01,9.85,4.892703862660946
1989-04-01,9.84,5.034129692832757
1989-05-01,9.81,5.276595744680853
1989-06-01,9.53,5.169491525423724
1989-07-01,9.24,5.063291139240507
1989-08-01,8.99,4.621848739495799
1989-09-01,9.02,4.4351464435146415
1989-10-01,8.84,4.587155963302751
1989-11-01,8.55,4.655029093931844
1989-12-01,8.45,4.639602319801155
1990-01-01,8.23,5.1980198019801955
1990-02-01,8.24,5.263157894736848
1990-03-01,8.28,5.23731587561374
1990-04-01,8.26,4.71161657189278
1990-05-01,8.18,4.365400161681481
1990-06-01,8.29,4.67365028203063
1990-07-01,8.15,4.819277108433735
1990-08-01,8.13,5.702811244979915
1990-09-01,8.2,6.169871794871797
1990-10-01,8.11,6.379585326953747
1990-11-01,7.81,6.195393169181877
1990-12-01,7.31,6.254948535233565
1991-01-01,6.91,5.647058823529403
1991-02-01,6.25,5.312500000000009
1991-03-01,6.12,4.821150855365488
1991-04-01,5.91,4.809930178432885
1991-05-01,5.78,5.034856700232378
1991-06-01,5.9,4.69591993841416
1991-07-01,5.82,4.3678160919540145
1991-08-01,5.66,3.7993920972644375
1991-09-01,5.45,3.3962264150943398
1991-10-01,5.21,2.8485757121439153
1991-11-01,4.81,3.0665669409125083
1991-12-01,4.43,2.980625931445604
1992-01-01,4.03,2.6726057906458967
1992-02-01,4.06,2.8189910979228356
1992-03-01,3.98,3.189910979228474
1992-04-01,3.73,3.1828275351591504
1992-05-01,3.82,3.023598820058993
1992-06-01,3.76,3.014705882352937
1992-07-01,3.25,3.1571218795888485
1992-08-01,3.3,3.0746705710102615
1992-09-01,3.22,2.992700729927003
1992-10-01,3.1,3.279883381924199
1992-11-01,3.09,3.1204644412191453
1992-12-01,2.92,2.9667149059334466
1993-01-01,3.02,3.2537960954446854
1993-02-01,3.03,3.246753246753247
1993-03-01,3.07,3.0194104960460226
1993-04-01,2.96,3.1563845050215247
1993-05-01,3.0,3.2211882605583395
1993-06-01,3.04,2.997858672376886
1993-07-01,3.06,2.8469750889679712
1993-08-01,3.03,2.840909090909091
1993-09-01,3.09,2.7639971651311166
1993-10-01,2.99,2.7522935779816557
1993-11-01,3.02,2.744546094299793
1993-12-01,2.96,2.8109627547434997
1994-01-01,3.05,2.450980392156863
1994-02-01,3.25,2.5157232704402475
1994-03-01,3.34,2.6517794836008255
1994-04-01,3.56,2.364394993045881
1994-05-01,4.01,2.2884882108183158
1994-06-01,4.25,2.494802494802491
1994-07-01,4.26,2.698961937716267
1994-08-01,4.47,2.9005524861878373
1994-09-01,4.73,2.965517241379318
